8AF7D4E5;10;2030-03-17 23:59:59.000;6
32CF456E;10;2030-03-17 23:59:59.000;6
1F70DB62;6;2030-03-15 23:59:59.000;2
F1BA81DD;6;2030-03-15 23:59:59.000;2
FF9847E6;3;2030-02-17 23:59:59.000;2
99B8698D;6;2030-02-07 23:59:59.000;1
2383E162;5;2030-02-05 23:59:59.000;2
EA74BFBC;10;2030-02-02 23:59:59.000;0
99B1ADFD;8;2030-02-02 23:59:59.000;0
237A8C52;5;2030-01-26 23:59:59.000;2
99B60DFD;5;2030-01-21 23:59:59.000;4
1F6FAFE2;9;2030-01-20 23:59:59.000;0
99B1F85D;5;2030-01-20 23:59:59.000;2
32BA024E;11;2030-01-20 23:59:59.000;8
9AE13A2C;10;2030-01-17 23:59:59.000;0
32DFD74E;10;2030-01-17 23:59:59.000;0
3317603E;10;2030-01-16 23:59:59.000;2
237ACE32;5;2030-01-16 23:59:59.000;4
9AE1E63C;5;2030-01-16 23:59:59.000;4
32D3A61E;5;2030-01-16 23:59:59.000;2
9AE14F4C;5;2030-01-16 23:59:59.000;2
329B0D0E;5;2030-01-16 23:59:59.000;2
F1BA3E6D;6;2030-01-16 23:59:59.000;2
EA87A77C;6;2030-01-16 23:59:59.000;4
0E126532;10;2030-01-15 23:59:59.000;0
23886112;5;2030-01-14 23:59:59.000;4
9AE8DB6C;5;2030-01-14 23:59:59.000;4
D1530B80;10;2030-01-13 23:59:59.000;0
2383DDE2;10;2030-01-13 23:59:59.000;2
237879C2;10;2030-01-12 23:59:59.000;8
1F72AB02;3;2030-01-12 23:59:59.000;2
F1BA14ED;5;2030-01-11 23:59:59.000;4
7F47908E;5;2030-01-11 23:59:59.000;2
EA7F5B8C;9;2030-01-09 23:59:59.000;2
2384DBB2;9;2030-01-07 23:59:59.000;2
9ADD8E2C;9;2030-01-05 23:59:59.000;8
9AE1AC9C;5;2030-01-03 23:59:59.000;2
1F729342;5;2030-01-03 23:59:59.000;2
E4259DDD;5;2030-01-03 23:59:59.000;4
99BD068D;2;2030-01-03 23:59:59.000;1
32B67C4E;10;2030-01-02 23:59:59.000;6
7F47605E;10;2030-01-02 23:59:59.000;4
EA82145C;9;2030-01-02 23:59:59.000;4
1F6CF002;8;2030-01-01 23:59:59.000;6
F1BA506D;10;2030-01-01 23:59:59.000;8
9AE127CC;10;2029-12-31 23:59:59.000;6
1F6D9FF2;10;2029-12-30 23:59:59.000;4
1F6DA772;10;2029-12-30 23:59:59.000;8
1F6F2592;10;2029-12-30 23:59:59.000;8
EA85892C;10;2029-12-29 23:59:59.000;4
E4285BCD;5;2029-12-29 23:59:59.000;2
1F73F722;5;2029-12-29 23:59:59.000;2
32D4A85E;10;2029-12-28 23:59:59.000;4
237BA562;10;2029-12-27 23:59:59.000;4
0E099A02;5;2029-12-26 23:59:59.000;2
23841782;5;2029-12-26 23:59:59.000;2
091D9EC2;5;2029-12-23 23:59:59.000;2
329CB2FE;5;2029-12-23 23:59:59.000;2
EA7C120C;5;2029-12-19 23:59:59.000;2
1F6C6612;5;2029-12-19 23:59:59.000;2
9AE11F1C;5;2029-12-19 23:59:59.000;4
